epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.01,0.525,0.265,0.1,0.015,0.015,0.015,0.105,0.06
2,0.0,0.005,0.515,0.245,0.11,0.035,0.015,0.01,0.11,0.065
3,0.0,0.015,0.51,0.255,0.1,0.03,0.03,0.015,0.095,0.05
4,0.0,0.005,0.47,0.265,0.095,0.035,0.025,0.015,0.075,0.04
5,0.0,0.005,0.48,0.26,0.095,0.02,0.025,0.01,0.095,0.04
6,0.0,0.005,0.505,0.275,0.1,0.015,0.02,0.01,0.09,0.045
7,0.0,0.005,0.49,0.275,0.1,0.02,0.01,0.005,0.09,0.045
8,0.0,0.0,0.43,0.295,0.09,0.025,0.02,0.01,0.1,0.05
9,0.0,0.005,0.53,0.28,0.09,0.015,0.01,0.005,0.11,0.055
10,0.0,0.005,0.475,0.23,0.1,0.015,0.01,0.005,0.12,0.05
11,0.0,0.0,0.54,0.26,0.08,0.015,0.015,0.0,0.105,0.05
12,0.0,0.005,0.505,0.3,0.115,0.025,0.025,0.015,0.1,0.05
13,0.0,0.005,0.46,0.255,0.095,0.025,0.02,0.01,0.11,0.05
14,0.0,0.005,0.535,0.275,0.115,0.02,0.02,0.01,0.125,0.05
15,0.0,0.005,0.465,0.245,0.115,0.02,0.015,0.01,0.1,0.055
16,0.0,0.005,0.535,0.285,0.09,0.025,0.025,0.01,0.11,0.045
17,0.0,0.005,0.485,0.255,0.135,0.02,0.02,0.005,0.08,0.06
18,0.0,0.005,0.555,0.225,0.125,0.025,0.02,0.015,0.095,0.05
19,0.0,0.005,0.48,0.27,0.085,0.03,0.03,0.005,0.1,0.055
20,0.0,0.005,0.49,0.23,0.1,0.03,0.01,0.01,0.095,0.055
21,0.0,0.005,0.525,0.225,0.115,0.03,0.03,0.01,0.105,0.055
22,0.0,0.005,0.49,0.265,0.075,0.025,0.02,0.01,0.115,0.045
23,0.0,0.005,0.505,0.24,0.105,0.02,0.02,0.005,0.105,0.06
24,0.0,0.005,0.46,0.225,0.105,0.03,0.01,0.005,0.095,0.055
25,0.0,0.005,0.52,0.23,0.095,0.03,0.015,0.005,0.11,0.045
26,0.0,0.005,0.5,0.26,0.1,0.025,0.015,0.01,0.1,0.05
27,0.0,0.005,0.505,0.265,0.1,0.025,0.02,0.01,0.11,0.045
28,0.0,0.005,0.535,0.205,0.1,0.03,0.03,0.01,0.1,0.05
29,0.0,0.005,0.515,0.25,0.1,0.03,0.02,0.005,0.095,0.055
30,0.0,0.005,0.51,0.28,0.13,0.025,0.005,0.005,0.115,0.055
31,0.0,0.005,0.515,0.255,0.105,0.025,0.025,0.01,0.095,0.04
32,0.0,0.01,0.49,0.295,0.095,0.025,0.035,0.01,0.1,0.055
33,0.0,0.005,0.485,0.23,0.08,0.025,0.025,0.01,0.09,0.055
34,0.0,0.0,0.54,0.235,0.115,0.025,0.025,0.005,0.1,0.06
35,0.0,0.005,0.5,0.24,0.095,0.025,0.005,0.01,0.095,0.055
36,0.0,0.005,0.5,0.255,0.1,0.02,0.02,0.01,0.105,0.045
37,0.0,0.005,0.48,0.265,0.085,0.025,0.025,0.015,0.09,0.055
38,0.0,0.005,0.515,0.235,0.08,0.02,0.015,0.01,0.105,0.055
39,0.0,0.005,0.515,0.255,0.09,0.02,0.015,0.01,0.105,0.04
40,0.0,0.005,0.455,0.27,0.135,0.025,0.025,0.005,0.1,0.045
