epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.0,0.45,0.28,0.125,0.025,0.025,0.01,0.105,0.04
2,0.0,0.01,0.495,0.245,0.08,0.025,0.015,0.01,0.075,0.045
3,0.0,0.005,0.515,0.205,0.1,0.03,0.025,0.005,0.09,0.045
4,0.0,0.005,0.535,0.255,0.105,0.025,0.015,0.005,0.1,0.055
5,0.0,0.01,0.465,0.245,0.115,0.04,0.02,0.01,0.095,0.06
6,0.0,0.01,0.48,0.295,0.115,0.03,0.02,0.015,0.09,0.055
7,0.0,0.005,0.495,0.235,0.115,0.025,0.01,0.01,0.1,0.06
8,0.0,0.005,0.495,0.225,0.115,0.02,0.02,0.01,0.13,0.055
9,0.0,0.005,0.495,0.255,0.105,0.03,0.025,0.01,0.12,0.05
10,0.0,0.005,0.525,0.245,0.075,0.025,0.005,0.005,0.09,0.06
11,0.0,0.005,0.475,0.285,0.12,0.03,0.02,0.005,0.095,0.065
12,0.0,0.005,0.545,0.24,0.11,0.025,0.015,0.01,0.1,0.055
13,0.0,0.005,0.54,0.275,0.1,0.025,0.03,0.005,0.1,0.06
14,0.0,0.005,0.525,0.25,0.09,0.025,0.03,0.01,0.1,0.065
15,0.0,0.005,0.5,0.29,0.135,0.025,0.02,0.01,0.085,0.05
16,0.0,0.005,0.485,0.24,0.105,0.025,0.015,0.005,0.09,0.055
17,0.0,0.005,0.47,0.27,0.11,0.025,0.02,0.01,0.11,0.055
18,0.0,0.0,0.555,0.24,0.1,0.025,0.02,0.0,0.115,0.055
19,0.0,0.005,0.46,0.24,0.105,0.025,0.02,0.015,0.11,0.05
20,0.0,0.005,0.51,0.25,0.13,0.025,0.02,0.01,0.09,0.055
21,0.0,0.005,0.505,0.255,0.11,0.03,0.015,0.015,0.1,0.05
22,0.0,0.005,0.525,0.25,0.1,0.025,0.02,0.02,0.11,0.055
23,0.0,0.005,0.47,0.245,0.1,0.03,0.03,0.005,0.09,0.055
24,0.0,0.005,0.495,0.275,0.1,0.025,0.015,0.005,0.09,0.05
25,0.0,0.005,0.525,0.255,0.11,0.025,0.015,0.005,0.11,0.06
26,0.0,0.005,0.545,0.275,0.1,0.025,0.025,0.01,0.105,0.055
27,0.0,0.005,0.48,0.255,0.1,0.025,0.025,0.005,0.1,0.045
28,0.0,0.005,0.475,0.265,0.095,0.025,0.025,0.015,0.105,0.045
29,0.0,0.005,0.515,0.245,0.11,0.025,0.02,0.01,0.11,0.05
30,0.0,0.005,0.51,0.225,0.115,0.025,0.02,0.01,0.105,0.05
31,0.0,0.005,0.52,0.265,0.095,0.025,0.015,0.005,0.09,0.05
32,0.0,0.005,0.47,0.215,0.1,0.025,0.03,0.015,0.09,0.05
33,0.0,0.005,0.53,0.27,0.07,0.025,0.02,0.015,0.105,0.05
34,0.0,0.005,0.535,0.275,0.095,0.015,0.015,0.01,0.105,0.045
35,0.0,0.005,0.495,0.195,0.105,0.025,0.015,0.005,0.11,0.06
36,0.0,0.005,0.51,0.255,0.105,0.025,0.015,0.01,0.095,0.04
37,0.0,0.005,0.535,0.3,0.1,0.025,0.01,0.01,0.105,0.065
38,0.0,0.005,0.51,0.26,0.13,0.025,0.015,0.015,0.1,0.05
39,0.0,0.005,0.55,0.26,0.145,0.025,0.01,0.005,0.125,0.05
40,0.0,0.005,0.53,0.275,0.11,0.025,0.01,0.005,0.12,0.05
