epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.045,0.87,0.675,0.45,0.22,0.175,0.08,0.54,0.335
2,0.0,0.12,0.905,0.78,0.63,0.39,0.275,0.195,0.68,0.535
3,0.0,0.18,0.925,0.81,0.6,0.435,0.355,0.23,0.74,0.57
4,0.0,0.195,0.94,0.83,0.67,0.44,0.35,0.26,0.735,0.57
5,0.0,0.18,0.94,0.84,0.67,0.455,0.38,0.275,0.8,0.605
6,0.0,0.23,0.96,0.885,0.685,0.5,0.43,0.31,0.8,0.645
7,0.0,0.225,0.94,0.895,0.69,0.5,0.44,0.28,0.78,0.63
8,0.0,0.2,0.955,0.875,0.75,0.48,0.42,0.28,0.805,0.65
9,0.0,0.225,0.935,0.88,0.735,0.56,0.435,0.33,0.82,0.68
10,0.0,0.255,0.925,0.845,0.7,0.515,0.445,0.315,0.79,0.685
11,0.0,0.275,0.96,0.895,0.745,0.56,0.485,0.375,0.815,0.695
12,0.0,0.27,0.945,0.905,0.685,0.53,0.44,0.33,0.835,0.68
13,0.0,0.255,0.97,0.88,0.73,0.575,0.465,0.36,0.805,0.695
14,0.0,0.215,0.95,0.845,0.655,0.48,0.395,0.32,0.81,0.68
15,0.0,0.25,0.93,0.865,0.72,0.545,0.435,0.31,0.8,0.68
16,0.0,0.23,0.955,0.875,0.69,0.535,0.41,0.32,0.785,0.66
17,0.0,0.24,0.925,0.875,0.725,0.53,0.42,0.32,0.795,0.655
18,0.0,0.245,0.98,0.86,0.755,0.585,0.48,0.355,0.825,0.69
19,0.0,0.24,0.94,0.895,0.725,0.555,0.435,0.305,0.785,0.695
20,0.0,0.235,0.965,0.895,0.735,0.545,0.425,0.315,0.805,0.65
21,0.0,0.235,0.96,0.865,0.7,0.555,0.44,0.32,0.805,0.68
22,0.0,0.21,0.94,0.82,0.665,0.51,0.42,0.27,0.785,0.64
23,0.0,0.245,0.955,0.87,0.695,0.525,0.415,0.315,0.82,0.68
24,0.0,0.26,0.915,0.865,0.695,0.555,0.48,0.345,0.8,0.665
25,0.0,0.215,0.94,0.88,0.72,0.51,0.385,0.295,0.77,0.67
26,0.0,0.22,0.92,0.85,0.68,0.48,0.375,0.305,0.795,0.62
27,0.0,0.21,0.945,0.87,0.7,0.485,0.395,0.305,0.765,0.655
28,0.0,0.26,0.95,0.86,0.705,0.54,0.42,0.37,0.815,0.68
29,0.0,0.245,0.94,0.855,0.73,0.535,0.415,0.315,0.81,0.67
30,0.0,0.2,0.915,0.875,0.72,0.495,0.44,0.26,0.795,0.65
31,0.0,0.21,0.925,0.845,0.695,0.5,0.43,0.285,0.79,0.675
32,0.0,0.255,0.94,0.865,0.675,0.52,0.39,0.31,0.78,0.65
33,0.0,0.23,0.915,0.855,0.735,0.53,0.415,0.325,0.765,0.67
34,0.0,0.26,0.93,0.835,0.675,0.53,0.43,0.34,0.78,0.65
35,0.0,0.24,0.945,0.86,0.68,0.495,0.39,0.31,0.79,0.67
36,0.0,0.245,0.935,0.87,0.73,0.56,0.465,0.34,0.81,0.655
37,0.0,0.235,0.94,0.86,0.7,0.52,0.475,0.315,0.8,0.655
38,0.0,0.235,0.95,0.835,0.72,0.52,0.39,0.33,0.76,0.655
39,0.0,0.225,0.92,0.855,0.715,0.515,0.41,0.305,0.8,0.655
40,0.0,0.24,0.955,0.875,0.755,0.55,0.435,0.335,0.805,0.69
