epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.07,0.845,0.665,0.43,0.215,0.175,0.1,0.5,0.335
2,0.0,0.135,0.88,0.8,0.575,0.335,0.26,0.19,0.66,0.475
3,0.0,0.17,0.935,0.81,0.605,0.415,0.345,0.235,0.725,0.595
4,0.0,0.18,0.94,0.825,0.61,0.47,0.345,0.27,0.74,0.595
5,0.0,0.2,0.945,0.82,0.655,0.44,0.39,0.255,0.725,0.61
6,0.0,0.22,0.945,0.865,0.715,0.5,0.405,0.3,0.785,0.645
7,0.0,0.245,0.945,0.865,0.67,0.45,0.37,0.3,0.74,0.64
8,0.0,0.22,0.91,0.845,0.685,0.47,0.4,0.305,0.775,0.62
9,0.0,0.275,0.945,0.855,0.725,0.495,0.42,0.34,0.835,0.665
10,0.0,0.2,0.945,0.825,0.665,0.485,0.38,0.295,0.755,0.63
11,0.0,0.26,0.95,0.86,0.745,0.515,0.425,0.325,0.82,0.675
12,0.0,0.25,0.965,0.875,0.76,0.51,0.42,0.35,0.78,0.665
13,0.0,0.245,0.945,0.85,0.725,0.525,0.36,0.295,0.815,0.7
14,0.0,0.245,0.945,0.835,0.695,0.55,0.45,0.335,0.79,0.685
15,0.0,0.205,0.925,0.87,0.74,0.53,0.445,0.285,0.81,0.675
16,0.0,0.24,0.96,0.845,0.685,0.52,0.435,0.345,0.775,0.65
17,0.0,0.24,0.935,0.84,0.655,0.525,0.465,0.315,0.82,0.645
18,0.0,0.245,0.95,0.855,0.71,0.52,0.44,0.335,0.77,0.66
19,0.0,0.24,0.93,0.875,0.72,0.535,0.455,0.33,0.8,0.685
20,0.0,0.245,0.925,0.895,0.72,0.535,0.405,0.29,0.8,0.67
21,0.0,0.23,0.93,0.86,0.72,0.545,0.44,0.325,0.8,0.66
22,0.0,0.235,0.97,0.89,0.7,0.53,0.415,0.325,0.815,0.665
23,0.0,0.245,0.955,0.84,0.73,0.525,0.405,0.325,0.795,0.67
24,0.0,0.23,0.945,0.855,0.69,0.515,0.41,0.29,0.805,0.67
25,0.0,0.22,0.965,0.87,0.725,0.515,0.39,0.32,0.82,0.665
26,0.0,0.25,0.965,0.85,0.73,0.515,0.42,0.315,0.81,0.675
27,0.0,0.26,0.96,0.88,0.745,0.545,0.41,0.32,0.77,0.685
28,0.0,0.24,0.945,0.865,0.74,0.55,0.38,0.34,0.795,0.65
29,0.0,0.225,0.95,0.815,0.705,0.51,0.405,0.31,0.8,0.675
30,0.0,0.235,0.925,0.845,0.695,0.53,0.43,0.32,0.79,0.675
31,0.0,0.26,0.92,0.845,0.7,0.55,0.445,0.325,0.81,0.68
32,0.0,0.245,0.925,0.875,0.69,0.505,0.45,0.315,0.81,0.66
33,0.0,0.245,0.93,0.865,0.725,0.54,0.43,0.325,0.8,0.665
34,0.0,0.245,0.935,0.895,0.75,0.56,0.435,0.315,0.815,0.69
35,0.0,0.225,0.955,0.875,0.725,0.545,0.415,0.36,0.8,0.66
36,0.0,0.235,0.95,0.845,0.675,0.53,0.395,0.345,0.785,0.655
37,0.0,0.255,0.94,0.85,0.69,0.525,0.455,0.35,0.755,0.675
38,0.0,0.255,0.945,0.8,0.715,0.55,0.455,0.355,0.775,0.665
39,0.0,0.24,0.95,0.875,0.74,0.54,0.43,0.345,0.8,0.68
40,0.0,0.23,0.94,0.825,0.74,0.545,0.41,0.335,0.78,0.685
