epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.01,0.49,0.275,0.14,0.035,0.025,0.02,0.095,0.065
2,0.0,0.005,0.52,0.275,0.125,0.035,0.025,0.01,0.095,0.055
3,0.0,0.0,0.53,0.265,0.1,0.04,0.03,0.02,0.095,0.065
4,0.0,0.02,0.515,0.245,0.11,0.025,0.02,0.025,0.105,0.055
5,0.0,0.005,0.545,0.26,0.125,0.02,0.005,0.01,0.09,0.045
6,0.0,0.005,0.51,0.24,0.095,0.02,0.015,0.01,0.115,0.045
7,0.0,0.005,0.52,0.22,0.08,0.025,0.015,0.005,0.105,0.045
8,0.0,0.01,0.49,0.285,0.08,0.01,0.01,0.01,0.105,0.05
9,0.0,0.01,0.465,0.245,0.075,0.025,0.02,0.01,0.1,0.06
10,0.0,0.005,0.5,0.26,0.065,0.025,0.02,0.01,0.11,0.045
11,0.0,0.01,0.49,0.27,0.09,0.02,0.025,0.02,0.085,0.05
12,0.0,0.005,0.56,0.23,0.08,0.025,0.025,0.01,0.1,0.055
13,0.0,0.005,0.53,0.21,0.095,0.025,0.02,0.005,0.1,0.05
14,0.0,0.005,0.565,0.235,0.11,0.03,0.02,0.005,0.11,0.05
15,0.0,0.005,0.5,0.235,0.08,0.02,0.02,0.005,0.1,0.06
16,0.0,0.005,0.52,0.22,0.105,0.025,0.015,0.015,0.095,0.045
17,0.0,0.005,0.505,0.25,0.105,0.025,0.03,0.005,0.095,0.055
18,0.0,0.005,0.48,0.245,0.105,0.025,0.015,0.01,0.095,0.045
19,0.0,0.005,0.505,0.24,0.1,0.02,0.02,0.01,0.12,0.045
20,0.0,0.005,0.6,0.245,0.1,0.02,0.02,0.005,0.115,0.05
21,0.0,0.005,0.525,0.255,0.135,0.025,0.025,0.005,0.09,0.045
22,0.0,0.005,0.495,0.285,0.1,0.025,0.015,0.01,0.125,0.045
23,0.0,0.005,0.515,0.215,0.135,0.025,0.025,0.005,0.105,0.065
24,0.0,0.005,0.52,0.285,0.105,0.025,0.02,0.005,0.1,0.06
25,0.0,0.005,0.475,0.24,0.09,0.025,0.02,0.01,0.11,0.04
26,0.0,0.005,0.54,0.245,0.1,0.025,0.02,0.005,0.11,0.055
27,0.0,0.005,0.47,0.24,0.11,0.025,0.025,0.005,0.095,0.045
28,0.0,0.005,0.555,0.235,0.115,0.03,0.01,0.01,0.105,0.045
29,0.0,0.005,0.475,0.24,0.13,0.02,0.01,0.005,0.11,0.055
30,0.0,0.005,0.495,0.25,0.11,0.02,0.03,0.01,0.115,0.055
31,0.0,0.01,0.5,0.24,0.11,0.03,0.01,0.015,0.09,0.045
32,0.0,0.005,0.51,0.245,0.125,0.02,0.025,0.01,0.105,0.04
33,0.0,0.005,0.515,0.22,0.11,0.03,0.025,0.01,0.115,0.055
34,0.0,0.005,0.475,0.205,0.09,0.025,0.02,0.005,0.105,0.055
35,0.0,0.005,0.48,0.21,0.1,0.025,0.015,0.005,0.1,0.055
36,0.0,0.005,0.505,0.25,0.1,0.02,0.015,0.01,0.11,0.045
37,0.0,0.005,0.505,0.225,0.085,0.025,0.015,0.005,0.1,0.05
38,0.0,0.005,0.49,0.24,0.06,0.025,0.02,0.01,0.105,0.05
39,0.0,0.005,0.49,0.295,0.105,0.025,0.025,0.02,0.115,0.05
40,0.0,0.005,0.47,0.26,0.085,0.025,0.015,0.015,0.095,0.065
