epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.085,0.855,0.71,0.48,0.255,0.21,0.135,0.535,0.365
2,0.0,0.14,0.905,0.745,0.57,0.355,0.31,0.2,0.655,0.495
3,0.0,0.145,0.935,0.8,0.62,0.415,0.275,0.195,0.68,0.55
4,0.0,0.165,0.92,0.805,0.645,0.44,0.35,0.265,0.76,0.635
5,0.0,0.175,0.93,0.815,0.7,0.465,0.38,0.255,0.765,0.62
6,0.0,0.195,0.93,0.865,0.65,0.485,0.36,0.3,0.785,0.625
7,0.0,0.205,0.92,0.825,0.66,0.505,0.385,0.27,0.76,0.635
8,0.0,0.205,0.935,0.86,0.64,0.51,0.4,0.28,0.79,0.64
9,0.0,0.18,0.94,0.825,0.7,0.51,0.375,0.25,0.76,0.66
10,0.0,0.21,0.935,0.805,0.695,0.475,0.42,0.29,0.775,0.63
11,0.0,0.215,0.915,0.87,0.68,0.475,0.39,0.295,0.78,0.655
12,0.0,0.19,0.935,0.845,0.67,0.485,0.395,0.285,0.805,0.605
13,0.0,0.205,0.95,0.83,0.73,0.485,0.38,0.31,0.77,0.64
14,0.0,0.22,0.905,0.825,0.645,0.475,0.375,0.28,0.795,0.605
15,0.0,0.205,0.9,0.825,0.66,0.495,0.385,0.285,0.775,0.615
16,0.0,0.17,0.935,0.815,0.635,0.44,0.345,0.245,0.745,0.58
17,0.0,0.2,0.945,0.79,0.67,0.46,0.375,0.28,0.765,0.63
18,0.0,0.22,0.925,0.81,0.685,0.44,0.34,0.295,0.75,0.585
19,0.0,0.19,0.935,0.825,0.685,0.44,0.35,0.275,0.75,0.6
20,0.0,0.2,0.93,0.85,0.685,0.455,0.395,0.275,0.74,0.595
21,0.0,0.205,0.925,0.835,0.675,0.49,0.365,0.29,0.785,0.625
22,0.0,0.17,0.93,0.815,0.66,0.435,0.375,0.23,0.775,0.59
23,0.0,0.21,0.925,0.8,0.675,0.49,0.37,0.3,0.77,0.63
24,0.0,0.215,0.925,0.815,0.66,0.455,0.355,0.295,0.74,0.57
25,0.0,0.16,0.915,0.83,0.655,0.44,0.39,0.27,0.755,0.6
26,0.0,0.175,0.935,0.815,0.585,0.46,0.36,0.275,0.755,0.61
27,0.0,0.18,0.905,0.8,0.61,0.47,0.375,0.27,0.73,0.62
28,0.0,0.18,0.88,0.835,0.64,0.42,0.35,0.225,0.77,0.575
29,0.0,0.2,0.9,0.83,0.68,0.435,0.37,0.285,0.77,0.605
30,0.0,0.2,0.915,0.835,0.695,0.48,0.38,0.3,0.745,0.62
31,0.0,0.17,0.905,0.815,0.64,0.43,0.365,0.255,0.755,0.585
32,0.0,0.165,0.95,0.84,0.645,0.44,0.33,0.245,0.76,0.615
33,0.0,0.175,0.94,0.805,0.675,0.435,0.37,0.265,0.77,0.59
34,0.0,0.18,0.96,0.815,0.675,0.445,0.36,0.24,0.74,0.585
35,0.0,0.175,0.935,0.78,0.655,0.44,0.38,0.27,0.74,0.605
36,0.0,0.19,0.92,0.81,0.66,0.435,0.36,0.265,0.75,0.565
37,0.0,0.19,0.91,0.83,0.675,0.455,0.36,0.255,0.73,0.565
38,0.0,0.17,0.885,0.81,0.64,0.415,0.355,0.22,0.74,0.57
39,0.0,0.18,0.94,0.795,0.67,0.435,0.38,0.275,0.76,0.58
40,0.0,0.175,0.93,0.81,0.635,0.395,0.37,0.25,0.745,0.6
