epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.07,0.9,0.65,0.435,0.225,0.175,0.12,0.54,0.345
2,0.0,0.105,0.895,0.78,0.555,0.315,0.255,0.145,0.595,0.45
3,0.0,0.11,0.885,0.745,0.59,0.34,0.25,0.16,0.66,0.495
4,0.0,0.13,0.9,0.815,0.63,0.41,0.285,0.2,0.72,0.55
5,0.0,0.155,0.915,0.825,0.62,0.41,0.31,0.255,0.725,0.58
6,0.0,0.175,0.915,0.825,0.65,0.435,0.335,0.25,0.75,0.595
7,0.0,0.165,0.94,0.84,0.64,0.435,0.34,0.24,0.76,0.57
8,0.0,0.205,0.95,0.815,0.66,0.46,0.33,0.265,0.8,0.62
9,0.0,0.2,0.91,0.87,0.695,0.44,0.385,0.29,0.8,0.63
10,0.0,0.2,0.92,0.85,0.65,0.45,0.35,0.26,0.78,0.595
11,0.0,0.21,0.92,0.86,0.685,0.47,0.4,0.31,0.8,0.625
12,0.0,0.235,0.905,0.805,0.71,0.51,0.42,0.29,0.79,0.63
13,0.0,0.23,0.955,0.845,0.69,0.5,0.41,0.315,0.805,0.625
14,0.0,0.21,0.915,0.85,0.66,0.465,0.38,0.31,0.775,0.605
15,0.0,0.24,0.955,0.87,0.71,0.51,0.44,0.3,0.765,0.63
16,0.0,0.225,0.95,0.865,0.67,0.51,0.425,0.34,0.815,0.64
17,0.0,0.225,0.945,0.885,0.705,0.47,0.405,0.295,0.77,0.615
18,0.0,0.23,0.935,0.8,0.69,0.51,0.425,0.315,0.775,0.635
19,0.0,0.215,0.945,0.835,0.69,0.51,0.455,0.325,0.8,0.66
20,0.0,0.195,0.925,0.855,0.66,0.47,0.36,0.25,0.785,0.61
21,0.0,0.185,0.92,0.84,0.68,0.45,0.405,0.265,0.74,0.61
22,0.0,0.175,0.91,0.84,0.66,0.435,0.33,0.24,0.745,0.585
23,0.0,0.225,0.915,0.83,0.71,0.495,0.45,0.32,0.775,0.64
24,0.0,0.195,0.94,0.83,0.645,0.475,0.395,0.26,0.79,0.62
25,0.0,0.175,0.945,0.825,0.665,0.46,0.36,0.26,0.755,0.645
26,0.0,0.165,0.94,0.86,0.675,0.465,0.365,0.28,0.785,0.62
27,0.0,0.155,0.915,0.84,0.65,0.48,0.375,0.27,0.765,0.61
28,0.0,0.175,0.925,0.845,0.685,0.49,0.395,0.25,0.79,0.655
29,0.0,0.175,0.93,0.845,0.67,0.495,0.38,0.29,0.8,0.65
30,0.0,0.165,0.92,0.805,0.665,0.455,0.385,0.275,0.745,0.61
31,0.0,0.15,0.93,0.835,0.675,0.495,0.35,0.255,0.75,0.64
32,0.0,0.155,0.92,0.845,0.72,0.49,0.39,0.24,0.77,0.605
33,0.0,0.15,0.915,0.85,0.64,0.455,0.35,0.25,0.74,0.565
34,0.0,0.2,0.93,0.845,0.695,0.49,0.395,0.27,0.765,0.63
35,0.0,0.17,0.935,0.795,0.645,0.49,0.36,0.235,0.755,0.625
36,0.0,0.18,0.91,0.84,0.705,0.53,0.4,0.245,0.79,0.665
37,0.0,0.19,0.905,0.825,0.675,0.515,0.42,0.29,0.79,0.625
38,0.0,0.165,0.9,0.83,0.585,0.435,0.33,0.22,0.745,0.565
39,0.0,0.17,0.915,0.79,0.65,0.45,0.385,0.265,0.755,0.605
40,0.0,0.18,0.92,0.83,0.565,0.45,0.35,0.27,0.75,0.59
