epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.065,0.9,0.69,0.48,0.26,0.225,0.105,0.585,0.38
2,0.0,0.125,0.92,0.795,0.68,0.425,0.325,0.22,0.735,0.565
3,0.0,0.17,0.915,0.795,0.655,0.425,0.34,0.24,0.765,0.595
4,0.0,0.19,0.935,0.855,0.66,0.52,0.395,0.285,0.78,0.61
5,0.0,0.195,0.965,0.845,0.72,0.535,0.395,0.315,0.81,0.67
6,0.0,0.185,0.94,0.835,0.685,0.54,0.44,0.335,0.83,0.705
7,0.0,0.245,0.95,0.86,0.76,0.6,0.475,0.39,0.83,0.71
8,0.0,0.245,0.925,0.88,0.755,0.575,0.48,0.355,0.835,0.72
9,0.0,0.24,0.955,0.89,0.73,0.61,0.5,0.395,0.87,0.765
10,0.0,0.255,0.965,0.865,0.78,0.61,0.485,0.365,0.86,0.745
11,0.0,0.255,0.93,0.885,0.76,0.59,0.495,0.38,0.89,0.73
12,0.0,0.24,0.94,0.865,0.77,0.61,0.53,0.36,0.855,0.75
13,0.0,0.235,0.945,0.91,0.77,0.605,0.495,0.375,0.85,0.745
14,0.0,0.27,0.95,0.88,0.775,0.62,0.5,0.36,0.835,0.755
15,0.0,0.235,0.91,0.89,0.745,0.605,0.465,0.365,0.86,0.725
16,0.0,0.215,0.935,0.87,0.725,0.55,0.415,0.31,0.81,0.66
17,0.0,0.245,0.95,0.875,0.71,0.58,0.46,0.34,0.825,0.72
18,0.0,0.22,0.97,0.87,0.75,0.575,0.44,0.315,0.865,0.74
19,0.0,0.27,0.955,0.905,0.785,0.56,0.51,0.33,0.845,0.705
20,0.0,0.235,0.945,0.875,0.705,0.555,0.505,0.345,0.845,0.72
21,0.0,0.27,0.94,0.905,0.79,0.595,0.49,0.365,0.835,0.745
22,0.0,0.25,0.945,0.89,0.745,0.6,0.445,0.335,0.835,0.73
23,0.0,0.265,0.94,0.865,0.74,0.575,0.44,0.335,0.855,0.7
24,0.0,0.26,0.94,0.885,0.755,0.565,0.44,0.37,0.83,0.71
25,0.0,0.265,0.945,0.895,0.74,0.55,0.485,0.365,0.85,0.705
26,0.0,0.255,0.96,0.885,0.74,0.575,0.49,0.345,0.82,0.7
27,0.0,0.25,0.94,0.88,0.73,0.56,0.425,0.31,0.805,0.67
28,0.0,0.25,0.955,0.87,0.735,0.525,0.45,0.34,0.795,0.71
29,0.0,0.225,0.94,0.86,0.735,0.535,0.49,0.32,0.805,0.69
30,0.0,0.255,0.965,0.855,0.735,0.53,0.43,0.37,0.805,0.7
31,0.0,0.23,0.95,0.93,0.715,0.56,0.445,0.345,0.83,0.72
32,0.0,0.29,0.98,0.89,0.78,0.555,0.49,0.38,0.825,0.705
33,0.0,0.265,0.935,0.895,0.76,0.59,0.525,0.36,0.855,0.725
34,0.0,0.245,0.93,0.88,0.71,0.55,0.42,0.325,0.81,0.685
35,0.0,0.24,0.925,0.895,0.715,0.565,0.435,0.35,0.815,0.71
36,0.0,0.235,0.925,0.87,0.735,0.54,0.43,0.32,0.815,0.675
37,0.0,0.245,0.93,0.875,0.725,0.57,0.45,0.345,0.83,0.71
38,0.0,0.235,0.945,0.89,0.71,0.57,0.47,0.365,0.845,0.715
39,0.0,0.205,0.92,0.875,0.715,0.54,0.455,0.32,0.81,0.705
40,0.0,0.215,0.935,0.85,0.735,0.535,0.415,0.28,0.795,0.67
