epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.005,0.53,0.25,0.145,0.03,0.025,0.005,0.095,0.045
2,0.0,0.005,0.5,0.3,0.085,0.025,0.01,0.005,0.095,0.055
3,0.0,0.005,0.535,0.27,0.085,0.035,0.015,0.005,0.09,0.065
4,0.0,0.005,0.505,0.27,0.1,0.03,0.03,0.025,0.125,0.05
5,0.0,0.005,0.475,0.275,0.145,0.045,0.03,0.01,0.12,0.085
6,0.0,0.005,0.545,0.265,0.13,0.045,0.035,0.005,0.105,0.06
7,0.0,0.0,0.525,0.28,0.135,0.04,0.025,0.01,0.11,0.07
8,0.0,0.005,0.545,0.265,0.1,0.025,0.01,0.01,0.09,0.05
9,0.0,0.005,0.52,0.265,0.11,0.025,0.015,0.01,0.115,0.055
10,0.0,0.005,0.5,0.235,0.115,0.025,0.03,0.015,0.11,0.045
11,0.0,0.005,0.445,0.26,0.13,0.02,0.025,0.01,0.11,0.055
12,0.0,0.005,0.56,0.27,0.1,0.025,0.02,0.01,0.105,0.05
13,0.0,0.005,0.52,0.235,0.11,0.03,0.01,0.005,0.09,0.055
14,0.0,0.005,0.525,0.245,0.085,0.03,0.025,0.01,0.095,0.06
15,0.0,0.0,0.475,0.25,0.1,0.025,0.01,0.015,0.1,0.045
16,0.0,0.005,0.54,0.23,0.105,0.025,0.025,0.01,0.115,0.055
17,0.0,0.0,0.47,0.29,0.12,0.025,0.025,0.015,0.1,0.05
18,0.0,0.005,0.495,0.23,0.095,0.025,0.015,0.005,0.095,0.04
19,0.0,0.005,0.525,0.285,0.095,0.025,0.02,0.01,0.095,0.06
20,0.0,0.005,0.48,0.27,0.1,0.02,0.02,0.01,0.09,0.045
21,0.0,0.005,0.495,0.265,0.12,0.025,0.025,0.01,0.095,0.065
22,0.0,0.005,0.51,0.265,0.095,0.03,0.01,0.01,0.1,0.055
23,0.0,0.005,0.495,0.245,0.105,0.025,0.02,0.01,0.09,0.055
24,0.0,0.005,0.495,0.255,0.115,0.025,0.015,0.005,0.12,0.045
25,0.0,0.005,0.49,0.25,0.13,0.025,0.015,0.01,0.125,0.055
26,0.0,0.005,0.515,0.24,0.085,0.025,0.02,0.01,0.11,0.045
27,0.0,0.01,0.495,0.275,0.11,0.03,0.02,0.01,0.12,0.05
28,0.0,0.005,0.5,0.28,0.085,0.03,0.025,0.025,0.11,0.055
29,0.0,0.01,0.515,0.24,0.11,0.03,0.02,0.01,0.095,0.045
30,0.0,0.005,0.5,0.245,0.105,0.025,0.02,0.005,0.11,0.045
31,0.0,0.005,0.52,0.255,0.105,0.025,0.025,0.005,0.1,0.055
32,0.0,0.005,0.495,0.26,0.1,0.025,0.02,0.01,0.095,0.04
33,0.0,0.005,0.5,0.215,0.11,0.025,0.025,0.005,0.09,0.055
34,0.0,0.01,0.505,0.285,0.11,0.03,0.02,0.015,0.095,0.05
35,0.0,0.005,0.54,0.255,0.12,0.025,0.015,0.01,0.1,0.045
36,0.0,0.005,0.5,0.215,0.105,0.025,0.025,0.01,0.105,0.055
37,0.0,0.005,0.505,0.25,0.095,0.025,0.025,0.005,0.115,0.035
38,0.0,0.005,0.53,0.295,0.075,0.025,0.025,0.01,0.11,0.055
39,0.0,0.005,0.545,0.28,0.11,0.02,0.02,0.005,0.095,0.055
40,0.0,0.005,0.455,0.225,0.115,0.025,0.02,0.015,0.1,0.045
