epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.055,0.815,0.66,0.37,0.185,0.135,0.09,0.47,0.305
2,0.0,0.14,0.93,0.765,0.68,0.37,0.3,0.21,0.735,0.545
3,0.0,0.13,0.925,0.83,0.665,0.415,0.335,0.22,0.74,0.585
4,0.0,0.205,0.93,0.86,0.69,0.46,0.41,0.255,0.77,0.61
5,0.0,0.19,0.915,0.815,0.69,0.495,0.39,0.28,0.8,0.645
6,0.0,0.205,0.945,0.86,0.71,0.47,0.37,0.295,0.805,0.635
7,0.0,0.21,0.955,0.87,0.745,0.525,0.44,0.305,0.775,0.665
8,0.0,0.245,0.94,0.855,0.755,0.535,0.46,0.32,0.83,0.695
9,0.0,0.245,0.95,0.895,0.795,0.56,0.425,0.34,0.845,0.735
10,0.0,0.225,0.95,0.855,0.665,0.555,0.395,0.34,0.825,0.66
11,0.0,0.23,0.93,0.83,0.74,0.52,0.41,0.295,0.795,0.675
12,0.0,0.285,0.965,0.9,0.725,0.53,0.455,0.37,0.815,0.685
13,0.0,0.265,0.945,0.885,0.71,0.545,0.485,0.365,0.815,0.68
14,0.0,0.205,0.95,0.835,0.755,0.53,0.43,0.315,0.8,0.645
15,0.0,0.22,0.945,0.88,0.725,0.55,0.445,0.335,0.845,0.695
16,0.0,0.225,0.945,0.84,0.73,0.49,0.415,0.305,0.795,0.635
17,0.0,0.16,0.92,0.86,0.675,0.465,0.375,0.275,0.785,0.635
18,0.0,0.24,0.94,0.87,0.725,0.535,0.42,0.35,0.825,0.685
19,0.0,0.265,0.96,0.885,0.765,0.575,0.47,0.355,0.825,0.725
20,0.0,0.22,0.94,0.885,0.7,0.505,0.42,0.305,0.825,0.665
21,0.0,0.235,0.955,0.85,0.695,0.505,0.42,0.315,0.84,0.65
22,0.0,0.225,0.935,0.885,0.71,0.51,0.425,0.34,0.815,0.66
23,0.0,0.22,0.94,0.84,0.72,0.54,0.42,0.33,0.8,0.67
24,0.0,0.26,0.93,0.865,0.715,0.54,0.425,0.36,0.81,0.67
25,0.0,0.205,0.94,0.835,0.735,0.505,0.405,0.35,0.825,0.665
26,0.0,0.25,0.95,0.89,0.73,0.535,0.41,0.325,0.815,0.675
27,0.0,0.23,0.97,0.865,0.7,0.555,0.42,0.355,0.83,0.68
28,0.0,0.23,0.93,0.82,0.76,0.52,0.435,0.325,0.825,0.68
29,0.0,0.23,0.955,0.87,0.69,0.51,0.43,0.34,0.805,0.67
30,0.0,0.245,0.945,0.87,0.71,0.545,0.445,0.35,0.8,0.69
31,0.0,0.23,0.93,0.865,0.74,0.555,0.46,0.345,0.82,0.67
32,0.0,0.245,0.93,0.85,0.73,0.53,0.435,0.31,0.78,0.64
33,0.0,0.24,0.93,0.88,0.68,0.48,0.39,0.345,0.76,0.62
34,0.0,0.245,0.955,0.835,0.68,0.5,0.4,0.325,0.795,0.68
35,0.0,0.23,0.91,0.845,0.695,0.485,0.445,0.325,0.795,0.675
36,0.0,0.23,0.94,0.85,0.7,0.515,0.43,0.33,0.805,0.66
37,0.0,0.255,0.94,0.845,0.75,0.57,0.41,0.365,0.78,0.685
38,0.0,0.24,0.885,0.835,0.735,0.515,0.43,0.325,0.76,0.675
39,0.0,0.235,0.92,0.865,0.73,0.5,0.415,0.33,0.785,0.665
40,0.0,0.245,0.93,0.875,0.71,0.52,0.43,0.33,0.77,0.665
